   10     0 [ 17]                                   sqldk!XE_OrExpr::Execute
   10     0 [ 18]                                     sqldk!XE_OrExpr::Execute
   10     0 [ 19]                                       sqldk!XE_OrExpr::Execute
   10     0 [ 20]                                         sqldk!XE_OrExpr::Execute
   10     0 [ 21]                                           sqldk!XE_OrExpr::Execute
   10     0 [ 22]                                             sqldk!XE_AndExpr::Execute
   19     0 [ 23]                                               sqldk!XE_DAttrExpr::Execute
   11     0 [ 24]                                                 sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
    1     0 [ 25]                                                   sqldk!memcpy
    9     0 [ 25]                                                   MSVCR120!memcpy
    4     0 [ 25]                                                   MSVCR120!MoveSmall
   19    14 [ 24]                                                 sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
   26    33 [ 23]                                               sqldk!XE_DAttrExpr::Execute
    5     0 [ 24]                                                 sqldk!XE_StreamCompare<char,XEPackage0::StringCompare<char,2>,2>::Compare
   29    38 [ 23]                                               sqldk!XE_DAttrExpr::Execute
    6     0 [ 24]                                                 sqldk!_security_check_cookie
   33    44 [ 23]                                               sqldk!XE_DAttrExpr::Execute
   17    77 [ 22]                                             sqldk!XE_AndExpr::Execute
   19     0 [ 23]                                               sqldk!XE_DAttrExpr::Execute
   11     0 [ 24]                                                 sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
    1     0 [ 25]                                                   sqldk!memcpy
    9     0 [ 25]                                                   MSVCR120!memcpy
    4     0 [ 25]                                                   MSVCR120!MoveSmall
   19    14 [ 24]                                                 sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
   26    33 [ 23]                                               sqldk!XE_DAttrExpr::Execute
    5     0 [ 24]                                                 sqldk!GenericEvent::CallNextAction
   29    38 [ 23]                                               sqldk!XE_DAttrExpr::Execute
    6     0 [ 24]                                                 sqldk!_security_check_cookie
   33    44 [ 23]                                               sqldk!XE_DAttrExpr::Execute
   24   154 [ 22]                                             sqldk!XE_AndExpr::Execute
   17   178 [ 21]                                           sqldk!XE_OrExpr::Execute
   19     0 [ 22]                                             sqldk!XE_DAttrExpr::Execute
   11     0 [ 23]                                               sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
    1     0 [ 24]                                                 sqldk!memcpy
    9     0 [ 24]                                                 MSVCR120!memcpy
    4     0 [ 24]                                                 MSVCR120!MoveSmall
   19    14 [ 23]                                               sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
   26    33 [ 22]                                             sqldk!XE_DAttrExpr::Execute
    5     0 [ 23]                                               sqldk!GenericEvent::CallNextAction
   29    38 [ 22]                                             sqldk!XE_DAttrExpr::Execute
    6     0 [ 23]                                               sqldk!_security_check_cookie
   33    44 [ 22]                                             sqldk!XE_DAttrExpr::Execute
   22   255 [ 21]                                           sqldk!XE_OrExpr::Execute
   17   277 [ 20]                                         sqldk!XE_OrExpr::Execute
   10     0 [ 21]                                           sqldk!XE_AndExpr::Execute
   19     0 [ 22]                                             sqldk!XE_DAttrExpr::Execute
   11     0 [ 23]                                               sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
    1     0 [ 24]                                                 sqldk!memcpy
    9     0 [ 24]                                                 MSVCR120!memcpy
    4     0 [ 24]                                                 MSVCR120!MoveSmall
   19    14 [ 23]                                               sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
   26    33 [ 22]                                             sqldk!XE_DAttrExpr::Execute
    5     0 [ 23]                                               sqldk!XE_StreamCompare<char,XEPackage0::StringCompare<char,2>,2>::Compare
   29    38 [ 22]                                             sqldk!XE_DAttrExpr::Execute
    6     0 [ 23]                                               sqldk!_security_check_cookie
   33    44 [ 22]                                             sqldk!XE_DAttrExpr::Execute
   17    77 [ 21]                                           sqldk!XE_AndExpr::Execute
   19     0 [ 22]                                             sqldk!XE_DAttrExpr::Execute
   11     0 [ 23]                                               sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
    1     0 [ 24]                                                 sqldk!memcpy
    9     0 [ 24]                                                 MSVCR120!memcpy
    4     0 [ 24]                                                 MSVCR120!MoveSmall
   19    14 [ 23]                                               sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
   26    33 [ 22]                                             sqldk!XE_DAttrExpr::Execute
    5     0 [ 23]                                               sqldk!GenericEvent::CallNextAction
   29    38 [ 22]                                             sqldk!XE_DAttrExpr::Execute
