   50     0 [  4]         sqllang!CSQLSatelliteConnection::FreePackets
   11     0 [  5]           sqllang!SNIMemRegion::Push
    2     0 [  6]             sqldk!SystemThread::GetCurrentId
   38     2 [  5]           sqllang!SNIMemRegion::Push
   60    40 [  4]         sqllang!CSQLSatelliteConnection::FreePackets
   80  1412 [  3]       sqllang!CServerCargoContext::ReadOutputArgumentsInternal
    8     0 [  4]         sqllang!CSQLSatelliteCommunication::~CSQLSatelliteCommunication
   10     0 [  5]           sqllang!CSQLSatelliteMessageArgument::~CSQLSatelliteMessageArgument
   20    10 [  4]         sqllang!CSQLSatelliteCommunication::~CSQLSatelliteCommunication
   84  1442 [  3]       sqllang!CServerCargoContext::ReadOutputArgumentsInternal
    6     0 [  4]         sqllang!_security_check_cookie
   94  1448 [  3]       sqllang!CServerCargoContext::ReadOutputArgumentsInternal
   89  1542 [  2]     sqllang!CUDXR_ExternalScript::ProcessOutputArguments
   84  4238 [  1]   sqllang!CUDXR_ExternalScript::PullRow
   21  4322 [  0] sqlmin!CQScanUdx::GetRow
    9     0 [  1]   sqlmin!CQScanUdx::ReleaseChildRowHelper
   29  4331 [  0] sqlmin!CQScanUdx::GetRow
