2018-11-02 13:54:26.0564 UTC [DEBUG   ] [RequestId 937feeb8-6957-4076-b8b7-113dc47b67ef] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:54:26.0566 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:54:26.0579 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:54:26.0580 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:54:31.0580 UTC [DEBUG   ] [RequestId a9379ed3-9cfd-4130-a6a6-69273e36c545] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:54:31.0581 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:54:31.0594 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:54:31.0595 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:54:36.0596 UTC [DEBUG   ] [RequestId 254e1067-0ee9-45fa-8363-7bc1161e1487] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:54:36.0597 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:54:36.0610 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:54:36.0610 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:54:41.0612 UTC [DEBUG   ] [RequestId 43fad40e-76ad-466f-bed2-18b86ad439ea] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:54:41.0613 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:54:41.0626 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:54:41.0627 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:54:46.0627 UTC [DEBUG   ] [RequestId 343523d7-9c98-4383-ae4d-2b3850fb4118] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:54:46.0628 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:54:46.0642 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:54:46.0643 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:54:51.0643 UTC [DEBUG   ] [RequestId 808f81b9-e4c5-481c-84a7-ed41dc9125fb] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:54:51.0644 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:54:51.0659 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:54:51.0661 UTC [INFO    ] Waiting for controller to be ready...
